ID,POS,Gloss,Gloss_persian,Checked
93489,noun,vein formed by the union of the retinal veins; accompanies central arteries of the retina in the optic nerve,رگ تشکیل شده توسط اتحادیه وریدهای شبکیه؛ عروق مرکزی شبکیه را در عصب بینایی همراهی می کند,t
93490,noun,a single draining vein; on the right it empties into the inferior vena cava; on the left it empties into the left renal vein,یک رگ تخلیه واحد؛ در سمت راست به داخل ورید اجوف تحتانی خالی می شود؛ در سمت چپ به رگ کلیه رها می شود,t
93491,noun,the veins draining the cerebellum,رگهای تخلیه مخچه,t
93492,noun,any of several veins serving the cerebral hemispheres of the brain,هر یک از چندین رگی که به نیمکره های مغز خدمت می کنند,t
93493,noun,a vein that accompanies an artery of the same name,رگی همراه با شریانی به همین نام,t
93494,noun,either of two veins serving the choroid coat of the eye,هر یک از دو رگ که به کوروئید چشم خدمت می کنند,t
93495,noun,small veins coming from the ciliary body,رگهای کوچکی که از جسم مژگانی می آیند,t
93496,noun,any of several curved parallel veins accompanying arteries of the same name,هر یک از چندین رگ موازی منحنی همراه عروق به همین نام,t
93497,noun,veins that serve the clitoris,رگهایی که به کلیتوریس خدمت می کنند,t
93498,noun,vein serving the large intestine,رگ روده بزرگ,t
93499,noun,vein formed by union of facial vein and the retromandibular vein and emptying into the jugular vein,ورید ایجاد شده توسط اتحاد ورید صورت و ورید مجدد فکی و تخلیه در ورید ژوگولار,t
93500,noun,veins draining the conjunctiva,رگهای تخلیه کننده ملتحمه,t
93501,noun,one of several veins connecting intercostal veins with the lateral thoracic vein or the thoracoepigastric vein,یکی از چندین رگ اتصال دهنده وریدهای بین دنده ای با ورید توراسیک جانبی یا ورید توراکوپیگاستریک,t
93502,noun,one of a number of veins in the subcutaneous tissue that empty into deep veins,یکی از از وریدهای موجود در بافت زیر پوستی که در رگهای عمیق تخلیه می شوند,t
93503,noun,vein that drains the gallbladder,وریدی که کیسه صفرا را تخلیه می کند,t
93504,noun,one of the veins serving the fingers or toes,یکی از رگهایی که به انگشتان دست یا پا خدمت میکنند,t
93505,noun,one of the veins serving the spongy part of the cranial bones,یکی از رگهایی که قسمت اسفنجی استخوان های جمجمه را خدمت می کند,t
93506,noun,vein that is a tributary of the subclavian vein or external jugular vein and accompanies the descending scapular artery,وریدی که شاخه ای از ورید ساب کلاوین یا ورید ژوگولار خارجی است و شریان کتف نزولی را همراهی می کند,t
93507,noun,one of several connecting veins in the scalp and head that drain blood from sinuses in the dura mater to veins outside the skull,یکی از چندین رگ اتصال دهنده در پوست سر و سر که خون را از سینوسهای دورا به رگهای خارج جمجمه تخلیه می کند,t
93508,noun,veins serving the anterior walls of the abdomen,رگهایی که به دیواره های قدامی شکم خدمت می کنند,t
93509,noun,small veins from the esophagus emptying into the brachiocephalic vein or the azygos veins,تخلیه رگهای کوچک از مری به داخل رگ براکیوسفالیک یا رگهای آزیگوس,t
93510,noun,veins that drain the ethmoidal sinuses and empty into the superior ophthalmic vein,رگهایی که سینوس پرویزنی را تخلیه می کنند و در ورید فوقانی چشم تخلیه می شوند,t
93511,noun,one of the veins that drain the external nose and empty into the angular or facial vein,یکی از رگهایی که بینی خارجی را تخلیه می کند و به داخل ورید زاویه ای یا صورت خالی می شود,t
93512,noun,veins draining the gluteal muscles on either side of the body,رگهایی که باعث تخلیه عضلات سرینی در دو طرف بدن می شوند,t
93513,noun,a continuation of the left ascending lumbar vein; crosses the midline at the 8th vertebra and empties into the azygos vein,ادامه رگ کمر صعودی چپ ؛از مهره 8 از خط میانی عبور می کند و به داخل رگ آزیگوس خالی می شود,t
93514,noun,any of several veins draining the walls of the anal canal and rectum,هر یک از چندین رگ تخلیه کننده دیواره کانال مقعد و راست روده,t
93515,noun,a vein that drains the end of the ileum and the appendix and the cecum and the lower part of the ascending colon,وریدی که انتهای ایلئوم و آپاندیس و روده کور و قسمت تحتانی روده بزرگ صعودی را تخلیه می کند.,t
93516,noun,one of three veins draining the pelvic area,یکی از سه رگ تخلیه کننده ناحیه لگن,t
93517,noun,a branch of the internal iliac vein,شاخه ای از سیاهرگ ایلیاک داخلی,t
93518,noun,several veins draining the intercostal spaces of the rib cage,چندین رگی که فضاهای بین دنده ای قفسه سینه را تخلیه میکنند,t
93519,noun,one of several veins accompanying spinal nerves,یکی از چندین رگ همراه با اعصاب نخاعی,t
93520,noun,veins draining the lips of the vulva,رگهای تخلیه کننده لبه های فرج,t
93521,noun,veins that drain the posterior body wall and the lumbar vertebral venous plexuses,وریدهایی که دیواره خلفی بدن و شبکه های وریدی مهره کمر را تخلیه می کنند,t
93522,noun,posterior continuation of the pterygoid plexus; joins the superficial temporal vein to form the retromandibular vein,ادامه خلفی شبکه بال مانند ؛به ورید موقتی سطحی می پیوندد و ورید پشت‌آرواره‌ای را تشکیل میدهد,t
93523,noun,veins at accompany the meningeal arteries,رگهای همراه رگهای مننژ,t
93524,noun,a tributary of the portal vein passing from the intestine between the two layers of mesentery,یک شاخه از سیاهرگ دروازه‌ای که از روده بین دو لایه روده بند عبور می کند,t
93525,noun,veins that drain the upper abdominal wall and the lower intercostal spaces and the abdomen,رگهایی که دیواره فوقانی شکم و فضاهای بین دنده ای پایین و شکم را تخلیه می کنند,t
93526,noun,a vein located in the anterior medial part of the orbit; connects the superior ophthalmic with the angular vein,رگ واقع در قسمت داخلی قداری مدار; رگ برتر چشمی را به رگ زاویه ای متصل می کند,t
93527,noun,a tributary of the coronary sinus; on the posterior wall of the left atrium,شاخه ای از سینوس کرونر؛ در دیواره خلفی دهلیز چپ,t
93528,noun,a vein formed by the union of tributaries that drain the hip joints and thigh muscles; empties into the internal iliac vein,وریدی که توسط مجموعه شاخه های فرعی مفاصل ران و عضلات ران تخلیه می شود؛ به ورید ایلیاک داخلی خالی می شود,t
93529,noun,a vein that drains the occipital region,وریدی که ناحیه پس سری را تخلیه می کند,t
93530,noun,either of two veins that serve the eye; empties into the cavernous sinus,هر یک از دو رگی که به چشم خدمت می کنند؛ به سینوس غاری تخلیه می شود,t
93531,noun,one of the veins that drain the ovaries; the right opens into the inferior vena cava; the left opens into the left renal vein,یکی از رگهایی که تخمدان ها را تخلیه می کند؛ سمت راست به ورید اجوف تحتانی باز می شود؛ سمت چپ به ورید کلیوی چپ باز می شود,t
93532,noun,a vein that drains the region of the palate and empties into the facial vein,وریدی که ناحیه کام را تخلیه کرده و به داخل رگ صورت تخلیه می شود,t
93533,noun,veins draining the pancreas and emptying into the superior mesenteric and splenic veins,رگهایی که لوزالمعده را تخلیه کرده و به سرخرگ روده‌بندی بالایی و سیاهرگ طحالی میرسند,t
93534,noun,small veins arising in skin around the navel; terminate as accessory portal veins,رگهای کوچکی که در پوست اطراف ناف ایجاد می شوند؛ به عنوان سیاهرگ دروازه‌ای فرعی خاتمه میابند,t
93535,noun,parotid branches of the facial vein; they drain part of the parotid gland and empty into the retromandibular vein,شاخه های پاروتید ورید صورت؛ آنها بخشی از غده پاروتید را تخلیه کرده و به داخل ورید رتروماندیبولار خالی می شوند,t
93536,noun,veins that drain the pectoral muscles and empty into the subclavian vein,رگهایی که عضلات سینه را تخلیه می کنند و به داخل ورید زیرترقوه‌ای خالی می شوند,t
93537,noun,veins that accompany the perforating arteries; drain leg muscles; empty into the deep femoral vein,رگهایی که با عروق سوراخ کننده همراه هستند؛ عضلات پا را تخلیه میکنند؛ در سیاهرگ عمیق رانی خالی میشوند,t
93538,noun,several small veins from the pericardium,چندین رگ کوچک از غشاء خارجی قلب,t
93539,noun,veins from the pharyngeal plexus that empty into the internal jugular vein,وریدهایی از شبکه حلقی که در ورید داخلی ژوگولار تخلیه می شوند,t
93540,noun,either of two veins that drain the diaphragm,هر  کدام از دو رگ تخلیه کننده دیافراگم,t
93541,noun,a vein arising in the knee and ascending to become the femoral vein,وریدی که در زانو بوجود می آید و بالا می رود و به ورید ران تبدیل می شود,t
93542,noun,arises near the apex of the heart and empties into the coronary sinus,در نزدیکی راس قلب ایجاد می شود و به سینوس کرونر تخلیه می شود,t
93543,noun,a tributary of the right gastric vein,شاخه ای از ورید معده راست,t
93544,noun,vein of the pudendum,رگ شرمگاه,t
93545,noun,vein of the sacral region,ورید ناحیه خاجی,t
93546,noun,tributaries of the anterior ciliary veins that drain the sclera of the eye,شاخه های وریدهای مژکی قدامی که خلط چشم را تخلیه می کنند,t
93547,noun,veins passing from the scrotum to the pudendal veins,رگهایی که از کیسه بیضه به سیاهرگ‌های شرمگاهی منتقل می شوند,t
93548,noun,drains the sternocleidomastoid muscle; empties into the internal jugular vein,عضله استرنوکلئیدوماستوئید را تخلیه می کند؛ به داخل رگ داخلی گردن تخلیه می شود,t
93549,noun,a vein that drains the tympanic cavity and empties into the retromandibular vein,وریدی که حفره تمپان را تخلیه کرده و به داخل ورید رتروماندیبولار تخلیه می کند,t
93550,noun,a continuation of the axillary vein; joins the internal jugular to form the brachiocephalic vein,ادامه رگ زیر بغل؛ به ژگولار داخلی می پیوندد و ورید براکیوسفالیک را تشکیل می دهد,t
93551,noun,a tributary of the lingual vein,شاخه ای از رگ زبان,t
93552,noun,drains the front of the scalp; unites with the supratrochlear vein to form the angular vein,جلوی پوست سر را تخلیه می کندبا ورید سوپروتروکلئار متحد شده و ورید زاویه ای را تشکیل می دهد,t
93553,noun,drains the front of the scalp; unites with the supraorbital vein to form the angular vein,جلوی پوست سر را تخلیه می کند؛ به رگ فوقانی مغز میپیوندد و ورید زاویه ای را تشکیل می دهد,t
93554,noun,any of several veins draining the temporal region,هر یک از چندین رگی که ناحیه گیجگاهی را تخلیه می کنند,t
93555,noun,a vein serving the thalamus and corpus striatum,وریدی که تالاموس و جسم مخططی را خدمت می کند,t
93556,noun,a vein arising from the region of the superficial epigastric vein and opening into the axillary vein or thoracic vein,وریدی که از ناحیه ورید اپی گاستریک سطحی بوجود می آید و به ورید زیر بغل یا ورید توراسی باز می شود,t
93557,noun,any of several small veins draining blood from the thyroid area,هر یک از چندین رگ کوچکی که خون را از ناحیه تیروئید تخلیه می کنند,t
93558,noun,several small veins from the trachea,چندین رگ کوچک از نای,t
93559,noun,veins from the tympanic cavity that empty into the retromandibular vein,وریدهای حفره تمپان که در ورید رتروماندیبولار تخلیه می شوند,t
93560,noun,one of two veins on each side that arise from the uterine plexus and empty into the internal iliac vein,یکی از دو رگ موجود در هر طرف که از شبکه رحم بوجود می آیند و در ورید ایلیاک داخلی خالی می شوند,t
93561,noun,a vein that is permanently dilated; most common in the legs,وریدی که به طور دائمی گشاد شده باشد؛ شایع ترین در پاها,t
93562,noun,vein of the cochlear canal,رگ کانال حلزون گوش,t
93563,noun,a vein serving the penis,وریدی که آلت تناسلی مرد را خدمت می کند,t
93564,noun,vein of the vestibular bulb,ورید پیاز دهلیزی,t
93565,noun,either of two large veins that return oxygen-depleted blood to the right atrium of the heart,هر دو رگ بزرگ که خون کم شده با اکسیژن را به دهلیز راست قلب برمی گردانند,t
93566,noun,a vein that goes through the foramina of the cervical vertebrae and forms a plexus around the vertebral artery; empties into the brachiocephalic vein,وریدی که از سوراخ مهره های گردنی عبور کرده و در اطراف سرخرگ مهره ای شبکه تشکیل می دهد.به داخل رگ براکیوسفالیک تخلیه می شود,t
93567,noun,veins that drain the vesical plexus and join the internal iliac veins,رگهایی که شبکه مثانه ای را تخلیه می کنند و به سیاهرگهای تهیگاهی داخلی می پیوندند,t
93568,noun,veins that drain the saccule and utricle,رگهایی که کیسک و گوشک را تخلیه می کنند,t
93569,noun,a vein formed by branches from the back surface of the eye and the ciliary body; empties into the ophthalmic veins,وریدی که توسط شاخه های سطح پشت چشم و بدن مژک تشکیل می شود.در رگهای چشم تخلیه می شود,t
93570,noun,a minute vein continuous with a capillary,یک رگ به طور مداوم با مویرگ,t
93571,noun,"a mere wish, unaccompanied by effort to obtain",تنها یک آرزو ، بدون تلاش برای به دست آوردن,t
93572,noun,volition in its weakest form,اراده در ضعیف ترین شکل آن,t
93573,noun,a heavy creamy-colored paper resembling parchment,یک کاغذ سخت خامه ای رنگ شبیه کاغذ پوستی,t
93574,noun,the quality of deserving veneration,ویژگی شایسته ستایش,t
93575,noun,"toxin secreted by animals; secreted by certain snakes and poisonous insects (e.g., spiders and scorpions)",سم ترشح شده توسط حیوانات ؛ترشح شده توسط مارهای خاص و حشرات سمی (به عنوان مثال ، عنکبوت و عقرب),t
93576,noun,a potent neurotoxin found in a particular frog,یک سم عصب گرای قوی موجود در نوعی قورباغه,t
93577,noun,venom secreted by certain snakes,سمی که توسط مارهای خاصی ترشح می شود,t
93578,adjective,having or showing markings that resemble veins,دارای یا نشانگرهایی شبیه رگ است,t
93579,noun,a vent (as in a roof) for smoke to escape,دریچه ای (در سقف) برای خروج دود,t
93580,noun,a bulging body part (as the belly of a muscle),قسمت برجسته بدن (به عنوان شکم عضله),t
93581,noun,"a mechanical system in a building that provides fresh air; ""she was continually adjusting the ventilation""","یک سیستم مکانیکی در ساختمان که هوای تازه را تأمین می کند؛ ""او به طور مداوم تهویه را تنظیم می کرد""",t
93582,adjective,"toward or on or near the belly (front of a primate or lower surface of a lower animal); ""the ventral aspect of the human body""; ""the liver is somewhat ventral in position""; ""ventral (or pelvic) fins correspond to the hind limbs of a quadruped""","به سمت یا روی شکم یا نزدیک آن (جلوی یک پستاندار یا سطح پایین یک حیوان پایین تر) ؛""جنبه شکمی بدن انسان"" ؛""کبد تا حدی در شکم قرار دارد""؛""باله های شکمی (یا لگنی) مربوط به اندامهای عقب چهار پا""",t
93583,adjective,extending from the back to the belly,از پشت تا شکم امتداد دارد,t
93584,noun,an irregular ventricle between the third ventricle and the central canal of the spinal cord,یک بطن نامنظم بین بطن سوم و کانال مرکزی نخاع,t
93585,noun,either of two horseshoe-shaped ventricles one in each cerebral hemisphere; they communicate with the third ventricle via the foramen of Monro,هر دو بطن نعل اسبی شکل هر کدام در یک نیمکره مغزی؛ آنها از طریق روزنه ی مونرو با بطن سوم ارتباط برقرار می کنند,t
93586,noun,the chamber on the left side of the heart that receives arterial blood from the left atrium and pumps it into the aorta,محفظه ای در سمت چپ قلب که خون شریانی را از دهلیز چپ دریافت می کند و آن را به آئورت پمپ می کند,t
93587,noun,the chamber on the right side of the heart that receives venous blood from the right atrium and pumps it into the pulmonary trunk,محفظه سمت راست قلب که خون وریدی را از دهلیز راست دریافت می کند و آن را به داخل تنه ریوی پمپ می کند,t
93588,noun,"a venture by a partnership or conglomerate designed to share risk or expertise; ""a joint venture between the film companies to produce TV shows""","سرمایه گذاری توسط یک مشارکت یا مجتمع تجاری طراحی شده برای به اشتراک گذاشتن ریسک یا تخصص ؛""یک سرمایه گذاری مشترک بین شرکت های فیلم سازی برای تولید نمایش های تلویزیونی""",t
93589,noun,small veins in the sclera near the corneal margin; empty into the anterior ciliary veins,رگهای کوچک در صلبیه نزدیک حاشیه قرنیه ؛داخل وریدهای مژکی قدامی خالی میشوند,t
93590,noun,a star-shaped group of venules in the renal cortex,یک گروه از رگ های کوچک ستاره ای شکل در برون‌بخش کلیه,t
93591,noun,goddess of love; counterpart of Greek Aphrodite,الهه ی عشق؛همتای آفرودیت یونانی,t
93592,noun,hard-shell clams,صدف های سخت پوسته,t
93593,noun,unwillingness to tell lies,عدم تمایل به دروغ گفتن,t
93594,noun,"an English verb followed by one or more particles where the combination behaves as a syntactic and semantic unit; ""`turn out' is a phrasal verb in the question `how many turned out to vote?'""","فعل انگلیسی به دنبال یک یا چند حرف که در آن ترکیب به عنوان یک واحد نحوی و معنایی رفتار می کند."""" مشخص شد ""یک فعل عبارتی در سوال"" مشخص شد چند نفر رای آوردند؟ است """,t
93595,noun,"a verb whose agent performs an action that is directed at the agent; ""the sentence `he washed' has a reflexive verb""; ""`perjure' is a reflexive verb because you cannot perjure anyone but yourself""","فعلی که فاعل آن عملی را انجام می دهد که متوجه عامل باشد؛ ""جمله"" او شست ""دارای یک فعل انعکاسی است""؛ """"دروغ گفتن"" یک فعل انعکاسی است، زیرا شما نمی توانید به کسی جز خودتان دروغ بگویید""",t
93596,noun,a verb form that serves to express frequent repetition of an action,فرم فعلی که نشان دهنده ی تکرار مکرر یک عمل است,t
93597,noun,overabundance of words,زیاد بودن کلمات,t
93598,noun,pasta in strings thinner than spaghetti,پاستا در رشته های نازک تر از ماکارونی,t
93599,adjective,infested with or damaged (as if eaten) by worms,هجوم برده شده یا آسیب دیده (مثل اینکه خورده شده باشد) توسط کرم ها,t
93600,adjective,resembling a worm; long and thin and cylindrical,شبیه کرم ؛بلند و نازک و استوانه ای,t
93601,noun,any of several white wines flavored with aromatic herbs; used as aperitifs or in mixed drinks,هر یک از چندین شراب سفید که با گیاهان معطر طعم دار شده اند؛ به عنوان نوشابه یا در نوشیدنی های مخلوط استفاده می شود,t
93602,noun,dry pale amber variety,انواع کهربا کم رنگ خشک,t
93603,noun,the everyday speech of the people (as distinguished from literary language),گفتار روزمره مردم (متمایز از زبان ادبی),t
93604,adjective,"of or characteristic of or occurring in spring; ""the vernal equinox""","یا مشخصه آن بهار است یا در بهار اتفاق می افتد ؛""اعتدال بهاری""",t
93605,adjective,of plants that bloom during the spring,از گیاهانی که در طول بهار شکوفا می شوند,t
93606,noun,a benign growth (often with a rough surface),رشد خوش خیم (غالباً با سطح خشن),t
93607,noun,a small benign wart on or around the genitals and anus,یک زگیل خوش خیم کوچک در اندام های تناسلی و مقعد,t
93608,noun,a small benign growth on the faces of hands of children,یک رشد خوش خیم کوچک در صورت دستان کودکان,t
93609,noun,"a wart occurring on the sole of the foot; ""pressure causes plantar warts to develop a painful callus around the soft center""","زگیلی که در کف پا پدیدار میشود؛ ""فشار باعث می شود که زگیل کف پا یک پینه دردناک در اطراف مرکز نرم ایجاد کند""",t
93610,adjective,"competent in many areas and able to turn with ease from one thing to another; ""a versatile writer""","توانا در حوزه های بسیار و قادر به پریدن آسان از یک چیز به چیز دیگ؛ ""یک نویسنده همه کاره""",t
93611,noun,having a wide variety of skills,داشتن مهارتهای بسیار متنوع,t
93612,noun,a verse line with a dactyl followed by a spondee or trochee; supposedly used in laments by Adonis,یک خط شعر با یک داکتیل و به دنبال آن اسپاندی یا تروکی; گویا توسط ادونیس در مرثیه ها استفاده می شود,t
93613,noun,a verse line having eight syllables or a poem of octosyllabic lines,یک خط از شعر هشت هجایی یا یک شعر با سطرهای هشت هجایی,t
93614,noun,one of 4 vertebrae in the human coccyx,یکی از 4 مهره در استخوان دنبالچه انسان,t
93615,adjective,"having a backbone or spinal column; ""fishes and amphibians and reptiles and birds and mammals are verbetrate animals""","داشتن ستون فقرات یا ستون‌ مهره‌؛ ""ماهیها و دوزیستان و خزندگان و پرندگان و پستانداران حیوانات مهره دار هستند""",t
93616,noun,genus of imperfect fungi having conidia borne singly at the apex of whorled branchlets; cause wilt diseases,تیره ای از قارچهای ناقص که دارای کنیدیا هستند و به تنهایی در نوک شاخه های کوچک پیچ دار منتقل می شوند؛ باعث بیماری های پژمردگی می شود,t
93617,noun,a chemical agent that causes blistering (especially mustard gas),یک ماده شیمیایی که باعث ایجاد تاول (به خصوص گاز خردل) می شود,t
93618,noun,the formation of vesicles,تشکیل تاولچه ها,t
93619,noun,an arthropod family of the order Hymenoptera including: yellow jackets; hornets; mason wasps,یک خانواده بندپایان از راسته ی پرده بالان شامل: زنبور های زرد؛ زنبور های سرخ؛ زنبورهای میسون,t
93620,noun,any of several social wasps that construct nests of a substance like paper,هر یک از چندین زنبورهای اجتماعی که لانه هایی از ماده ای مانند کاغذ می‌سازند,t
93621,noun,a variety of vespid wasp,انواع زنبورهای درشت و سرخ,t
93622,noun,any of various solitary wasps that construct vase-shaped cells of mud for their eggs,هر کدام از زنبورهای انفرادی مختلف که سلولهای گلدان شکل گلی را برای تخمهای خود می سازند,t
93623,noun,a vessel (such as a yacht) that can be chartered without a captain or crew or provisions,یک کشتی (مانند یک قایق بادبانی) که می تواند بدون ناخدای یا خدمه یا وسایل تهیه شود,t
93624,noun,a vessel assigned to patrol an area,کشتی ای که برای گشت زنی در یک منطقه تعیین شده است,t
93625,noun,a vessel engaged in shrimping,یک کشتی که در صید میگو کار می کند,t
93626,noun,an oceangoing vessel equipped to make meteorological observations,یک کشتی اقیانوس پیما مجهز به مشاهدات هواشناسی,t
93627,noun,an expensive vessel propelled by sail or power and used for cruising or racing,کشتی گران قیمتی که توسط بادبان یا نیرو برانگیخته می شود و برای کروز یا مسابقه استفاده می شود,t
93628,noun,an ironclad vessel built by the Confederate forces in the hope of breaking the blockade imposed by the North,یک کشتی آهنی ساخته شده توسط نیروهای کنفدراسیون به امید شکستن محاصره تحمیل شده توسط شمال,t
93629,noun,a vessel in which wine is mulled,ظرفی که در آن شراب بعمل میاید,t
93630,noun,a vessel (usually a pot or vat) used for steeping,ظرفی (معمولاً گلدان یا دیگ بخار) که برای خیس کردن استفاده می شود,t
93631,noun,a vessel that holds water for washing the hands,ظرفی که برای شستن دستها آب در خود نگه می دارد,t
93632,noun,a container filled with water that surrounds a machine to cool it; especially that surrounding the cylinder block of an engine,کانتینر پر از آب که یک دستگاه را احاطه کرده تا سردش کند.به خصوص آنچه در اطراف سیلندر یک موتور قرار دارد,t
93633,verb,"become legally vested; ""The property vests in the trustees""","قانونی شدن؛ ""دارایی به امانت داران واگذار میشود""",t
93634,noun,a business suit consisting of a jacket and vest and trousers,یک کت و شلوار تجاری متشکل از کت و جلیقه و شلوار,t
93635,noun,(Roman mythology) goddess of the hearth and its fire whose flame was tended by vestal virgins; counterpart of Greek Hestia,(اسطوره های رومی) الهه آتشدان و آتش آن که شعله های آن از سوی راهبه های باکره است؛ همتای هستیای یونان,t
93636,noun,a chaste woman,یک زن پاکدامن,t
93637,noun,"a country's military establishment and the industries that produce arms and other military equipment; ""we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial complex""--Dwight David Eisenhower","تأسیسات نظامی یک کشور و صنایعی که سلاح و سایر تجهیزات نظامی تولید می کنند ؛ ""ما باید در برابر نفوذ بی دلیل ، خواه به دنبال یا نخواسته توسط مجتمع نظامی - صنعتی محافظت کنیم"" - دویت دیوید آیزنهاور",t
93638,noun,the space between the labia minora containing the orifice of the urethra,فضای بین لبه ی کوچک حاوی روزنه مجرای ادرار,t
93639,noun,a man who is a member of a church vestry,مردی که عضوی از لباس کلیسا است,t
93640,noun,a woman who is a member of a church vestry,مردی که عضوی از لباس کلیسا است,t
93641,noun,a veterinarian who treats horses,دامپزشکی که اسبها را معالجه می کند,t
93642,noun,common perennial climber of temperate regions of Eurasia and North America having dense elongate clusters of flowers,گیاه صعودی چند ساله متداول مناطق معتدل اوراسیا و آمریکای شمالی دارای خوشه های متراکم و کشیده از گل,t
93643,noun,European perennial toxic vetch,ماشک سمی همه ساله اروپایی,t
93644,noun,herbaceous climbing plant valuable as fodder and for soil-building,گیاه علفی کوهی مناسب برای علوفه و حاصلخیزی خاک,t
93645,noun,European purple-flowered with slender stems; occurs as a weed in hedges,گل بنفش اروپایی با ساقه های باریک; به عنوان علف هرز در پرچین ها میروید,t
93646,noun,any of various small plants of the genus Lathyrus; climb usually by means of tendrils,هر یک از گیاهان مختلف کوچک از جنس سنگنک ؛معمولاً با پیچک زدن بالا میروند,t
93647,noun,perennial of Europe and North Africa; foliage turns black in drying,دائما در اروپا و شمال آفریقا ؛شاخ و برگ خشک شده سیاه می شود,t
93648,noun,annual European vetch with red flowers,ماشک سالانه اروپا با گلهای قرمز,t
93649,noun,European annual grown for forage; seeds used for food in India and for stock elsewhere,سالانه اروپا برای علوفه کشت می شود؛ بذرهایی که برای غذا در هند و برای ذخیره در سایر مناطق استفاده می شود,t
93650,noun,bushy European perennial having nodding racemose violet-blue flowers,گیاه همیشگی اروپایی پر بوته و دارای گلهای خمیده بنفش آبی,t
93651,adjective,"vigorous and animated; ""a vibrant group that challenged the system""; ""a charming and vivacious hostess""; ""a vivacious folk dance""","پرانرژی و متحرک؛""یک گروه پر جنب و جوش که سیستم را به چالش می کشند""؛""یک مهماندار جذاب و با نشاط""؛""یک رقص فولک با نشاط""",t
93652,noun,mechanical device that produces vibratory motion; used for massage,دستگاه مکانیکی که حرکت ارتعاشی تولید میکند ؛برای ماساژ استفاده می شود,t
93653,noun,a vibrating device that substitutes for an erect penis to provide vaginal stimulation,دستگاهی ارتعاشی که جایگزین آلت تناسلی راست می شود تا تحریک واژن ایجاد کند,t
93654,adjective,"moving very rapidly to and fro or up and down; ""the vibrating piano strings""","حرکت بسیار سریع به این سو و آن سو یا بالا و پایین؛ ""رشته های پیانو لرزان""",t
93655,adjective,"suffered or done by one person as a substitute for another; ""vicarious atonement""","یک شخص به جای دیگری رنج میبرد یا کاری انجام میدهد؛ ""کفاره نیابتی""",t
93656,noun,a vice president holding executive power,معاون رئیس جمهور که قدرت اجرایی دارد,t
93657,noun,the ranking vice president in a firm that has more than one,نائب رییس عالی رتبه شرکتی که بیش از یکی دارد,t
93658,noun,a police group to enforce laws against gambling and prostitution,یک گروه پلیس برای اجرای قوانین علیه قمار و فحشا,t
93659,noun,wife of a viceroy,همسر یک نایب السلطنه,t
93660,noun,showy American butterfly resembling the monarch but smaller,پروانه نمایشی آمریکایی شبیه پادشاه اما کوچکتر,t
93661,noun,mainly dark northern butterflies with white wing bars,پروانه های عمدتا تیره شمالی با خط های سفید روی بال,t
93662,noun,a person who is hunted,شخصی که شکار می شود,t
93663,noun,"a victim of a mugging; ""the law seems to give more protection to the mugger than to the muggee""","قربانی یک حمله؛ ""به نظر می رسد قانون بیشتر از سرقت شده از سارق محافظت می کند""",t
93664,noun,a victim who is murdered,قربانی کشته شده,t
93665,noun,someone you feel sorry for,کسی که برایش احساس تاسف میکنید,t
93666,noun,a winner by a wide margin,یک برنده با اختلاف زیاد,t
93667,noun,(Roman mythology) goddess of victory; counterpart of Greek Nike,(اساطیر رومی) الهه پیروزی؛همتای نیکه ی یونان,t
93668,noun,a waterfall in the Zambezi River on the border between Zimbabwe and Zambia; diminishes seasonally,یک آبشار در رودخانه زامبزی در مرز بین زیمبابوه و زامبیا؛ تقلیل فصلی دارد,t
93669,noun,a state in southeastern Australia,ایالتی در جنوب شرقی استرالیا,t
93670,noun,the capital of Victoria state and 2nd largest Australian city; a financial and commercial center,پایتخت ایالت ویکتوریا و دومین شهر بزرگ استرالیا؛ یک مرکز مالی و تجاری,t
93671,adjective,typical of the moral standards or conduct of the age of Queen Victoria,نمونه بارز معیارهای اخلاقی یا رفتاری عصر ملکه ویکتوریا,t
93672,noun,"the date of Allied victory in Europe, World War II",تاریخ پیروزی متفقین در اروپا ، جنگ جهانی دوم,t
93673,noun,"the date of Allied victory over Japan, World War II",تاریخ پیروزی متفقین بر ژاپن ، جنگ جهانی دوم,t
93674,noun,the wool of the vicuna,پشم شترچه,t
93675,noun,a genus of Camelidae,تیره ای از شتران,t
93676,noun,a communist state in Indochina on the South China Sea; achieved independence from France in 1945,یک کشور کمونیست در هندوچین در دریای چین جنوبی ؛در سال 1945 از فرانسه به استقلال رسید,t
93677,noun,the Mon-Khmer language spoken in Vietnam,زبان مون-خمر که در ویتنام صحبت می شود,t
93678,noun,an optical device for viewing photographic transparencies,یک دستگاه نوری برای مشاهده شفافیت های عکاسی,t
93679,noun,a period of sleeplessness,یک دوره بی خوابی,t
93680,noun,"a periodic state during which you are conscious and aware of the world; ""consciousness during wakefulness in a sane person is pretty well ordered and familiar""","یک حالت دوره ای که در طی آن شما از دنیا با خبر و آگاه هستید؛ ""هوشیاری در هنگام بیداری در یک فرد سالم کاملاً منظم و آشنا است""",t
93681,noun,"a vigil held over a corpse the night before burial; ""there's no weeping at an Irish wake""","شب زنده داری برای یک جسد قبل از تشییع جنازه؛ ""در شب زنده داری ایرلندی کسی گریه نمیکند""",t
93682,noun,a vigil before certain feasts (as e.g. Easter),شب زنده داری قبل از اعیاد خاص (مانند عید پاک),t
